what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365729870828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365729876906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1365729882031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365729889937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1365729902796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1365729913671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365729917812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365729918703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365729921312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365729939781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365729944015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365730005250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365730007203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365730133546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365730144000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365730276390
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365730279500
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1365730308046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365730311718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365730317968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365730339078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365730345593
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1365730348500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365730401437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365730414078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365730417234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365730431734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365730442671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365730451812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365730454671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365730458468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365730469687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365730479890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365730481781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365730486750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365730494687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365730531390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365730532750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365730542140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365730548765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365730549796
